Ticker,MAPE,RMSE,MAE,R2_Score
CIPLA.NS,1.0546171447608244,13.594144460965206,10.16443440910514,0.9718490803341411
DRREDDY.NS,0.8419721295052791,10.622786409124048,7.496963829381829,0.9416659102251868
ITBEES.NS,0.855958560870752,0.36823991571798526,0.2510887808361091,0.7961044484705527
ULTRACEMCO.NS,0.9575326615982191,88.09710265996824,69.4059691921057,0.9544624380020362
CPSEETF.NS,0.739125914281302,0.36958670537567667,0.29711633088875744,0.9663696323424638
LTIM.NS,1.5399037208880246,86.09834844375163,68.70441939855057,0.8925349125271231
SBIN.NS,1.0274543887441154,7.607480453276949,5.499016221637725,0.9357378117755386
BAJAJFINSV.NS,1.0534155825819025,20.13725178005741,14.908467544215751,0.9721802212804376
TECHM.NS,1.1797293510831088,15.821311269954586,11.4369995148312,0.8224783087495866
POWERGRID.NS,0.9578080655014537,1.8761733880365965,1.4571272695321766,0.9578567915439832
HINDUNILVR.NS,0.9262420711867954,28.834798208814103,22.627152405882956,0.8663312629478671
TATAMOTORS.NS,1.3387514523020634,7.686788951527138,5.943324506681299,0.9803314922949756
RELIANCE.NS,1.1211974308288983,15.51818465301997,12.504344909324935,0.9204542406839786
BHARTIARTL.NS,1.0021693174378914,10.237178134997897,7.890770535366788,0.9056999618411481
APOLLOHOSP.NS,1.075681188904173,63.54246302933972,48.68665467585785,0.9347837391824928
KOTAKBANK.NS,0.8342242009710992,20.777061419330515,15.270399987235704,0.9437974090927012
ADANIENT.NS,3.8678096422953945,143.13221872035857,87.0346491998943,0.9766367280265078
TCS.NS,0.9570576430348575,36.24344606312595,29.309022050561495,0.856580910008842
SBILIFE.NS,1.0217573149703068,17.19987876329102,12.158877447781405,0.9397588361521241
LT.NS,0.9599684515337747,26.758505836655672,20.504324501952592,0.9284119454503283
INDUSINDBK.NS,1.281620586761583,19.506290548236027,14.541136824368738,0.9472693835277196
HDFCLIFE.NS,1.4258258821127847,11.01937541884145,7.725972234049416,0.9429111194728188
GOLDBEES.NS,0.7148425394369365,0.43953197086589896,0.3494897951808556,0.9659120452393504
M&M.NS,1.046606240471424,17.82589272529911,13.12319513896711,0.9345491197911012
ICICIBANK.NS,0.7840818023862675,8.976033270300706,6.800909569637832,0.9396349408046311
AXISNIFTY.NS,0.5529416216380239,1.3471258079598984,1.05633197119529,0.9366519601138273
TATASTEEL.NS,1.2438040881025065,1.6657086475443825,1.2743071000115482,0.8767131989472008
AXISBANK.NS,1.14965926917431,12.553779515084644,10.371460512691364,0.9181545208359329
UPL.NS,1.0513045271692931,9.710808066318862,7.423027245695726,0.9082205640944829
TATACONSUM.NS,0.9116976139654308,8.932648407159336,6.83504224389648,0.9625001559580075
HDFCBANK.NS,0.823855800548488,9.249133436414377,6.465792442794565,0.7056441308977974
BRITANNIA.NS,0.898055003948207,50.36474330033935,38.61318212725616,0.9576868208591965
GRASIM.NS,0.8823786093907665,18.937250477537503,14.715974091812933,0.9222234701141632
NTPC.NS,0.994866463909177,1.9792190499331914,1.6003018910282913,0.9178646563363942
NIFTYBEES.NS,1.2192501156181317,2.802106460417034,2.4086455458111944,0.7452026302507453
EICHERMOT.NS,1.1238732506714018,46.83372564524273,35.7632079020818,0.9463587771519697
HCLTECH.NS,1.0181533476732394,13.38166057597016,10.012792002958662,0.8888189055789667
SUNPHARMA.NS,0.9205499056962937,10.930436538783098,8.897878447654954,0.8216229357478747
DIVISLAB.NS,1.2901492589386174,61.339161822373136,40.64884118107023,0.9429860725084143
HEROMOTOCO.NS,1.0022863326625997,31.2720540389715,24.264230582192535,0.9528884250442113
ASIANPAINT.NS,0.8641809402779128,32.64650364023599,24.86186547235762,0.9667970415615623
NESTLEIND.NS,0.7803046709390783,10.28537925191677,7.674927227100154,0.9756688301269201
WIPRO.NS,1.0204293494775778,2.400266464721191,1.9106135642300586,0.8546623461641774
BPCL.NS,1.1388515848135197,2.306710653689377,1.6956662654287329,0.9103970022429633
ITC.NS,0.9833198015716327,4.229184889578428,3.382359033126771,0.9896560067978959
ADANIPORTS.NS,1.878677219377903,20.906024641260714,12.446889423468885,0.9600521655909404
HINDALCO.NS,1.5506374998127492,8.594684095886768,6.626261037496852,0.8974795321531198
MON100.NS,1.2431513392534776,1.5342749536011593,1.232569834545247,0.9717273034807342
JSWSTEEL.NS,1.1494181754806194,10.288785464226024,8.15023574925033,0.8841748888662799
JUNIORBEES.NS,1.2069645405965022,6.248328169056414,5.193385851298607,0.9293697350284078
MARUTI.NS,0.9794046271872532,102.26544863077923,83.07105913107853,0.9321495561067865
BAJFINANCE.NS,1.1444507023320478,9.882174038338633,7.134874164535636,0.9567973640213611
COALINDIA.NS,1.0485612162055178,2.481274001635969,1.9237977074965937,0.8846398427103779
BANKBEES.NS,0.70096196002524,3.9887501091732434,2.973584631729704,0.9265838358952445
TITAN.NS,0.9033624043995649,30.56563481877435,23.082110255809923,0.9695675971719492
ONGC.NS,1.0872910256211463,1.9288821022518696,1.438168897273397,0.9498428053791863
INFY.NS,1.0500697904890273,19.52188527003485,13.898910538330602,0.972747279901012
